Order_ID,Order_Date,Product,Category,Region,Quantity,Unit_Price,Payment_Method,Customer_ID,Revenue
10001,2022-01-01 00:00:00.000000000,Tablet,Mobiles,East,2,42625,NetBanking,3491,85250
10002,2022-01-01 02:54:59.349891648,Monitor,Electronics,South,2,15264,NetBanking,3596,30528
10003,2022-01-01 05:49:58.699783297,Charger,Accessories,South,3,12322,UPI,3876,36966
10004,2022-01-01 08:44:58.049674945,Headphones,Mobiles,West,2,25479,NetBanking,2631,50958
10005,2022-01-01 11:39:57.399566594,Tablet,Accessories,West,5,25753,UPI,4703,128765
10006,2022-01-01 14:34:56.749458243,Camera,Electronics,East,4,18116,UPI,3026,72464
10007,2022-01-01 17:29:56.099349891,Keyboard,Electronics,South,5,18468,Card,2460,92340
10008,2022-01-01 20:24:55.449241540,Tablet,Electronics,North,2,23605,Cash,1011,47210
10009,2022-01-01 23:19:54.799133188,Charger,Electronics,West,4,32871,NetBanking,2145,131484
10010,2022-01-02 02:14:54.149024837,Headphones,Accessories,South,5,40345,UPI,4618,201725
10011,2022-01-02 05:09:53.498916486,Monitor,Electronics,North,1,38866,Cash,3536,38866
10012,2022-01-02 08:04:52.848808134,Charger,Electronics,North,1,33470,UPI,4322,33470
10013,2022-01-02 10:59:52.198699783,Charger,Mobiles,South,4,7356,Cash,3626,29424
10014,2022-01-02 13:54:51.548591431,Keyboard,Electronics,West,4,43427,UPI,4553,173708
10015,2022-01-02 16:49:50.898483080,Smartphone,Mobiles,South,4,46554,NetBanking,2573,186216
10016,2022-01-02 19:44:50.248374729,Headphones,Electronics,West,1,28351,Card,2303,28351
10017,2022-01-02 22:39:49.598266377,Mouse,Electronics,East,5,46841,Card,1741,234205
10018,2022-01-03 01:34:48.948158026,Charger,Mobiles,South,4,32077,Card,2360,128308
10019,2022-01-03 04:29:48.298049674,Smartphone,Electronics,South,1,32764,UPI,3215,32764
10020,2022-01-03 07:24:47.647941323,Mouse,Accessories,West,4,6814,Cash,4008,27256
10021,2022-01-03 10:19:46.997832972,Headphones,Accessories,West,4,41244,NetBanking,2976,164976
10022,2022-01-03 13:14:46.347724620,Laptop,Electronics,South,4,11801,NetBanking,4399,47204
10023,2022-01-03 16:09:45.697616269,Camera,Accessories,North,1,14991,UPI,4317,14991
10024,2022-01-03 19:04:45.047507917,Smartphone,Mobiles,North,5,36119,Card,4662,180595
10025,2022-01-03 21:59:44.397399566,USB Cable,Electronics,North,1,27616,UPI,4697,27616
10026,2022-01-04 00:54:43.747291215,Laptop,Electronics,East,1,41012,Cash,2324,41012
10027,2022-01-04 03:49:43.097182863,Camera,Mobiles,East,4,49306,Card,4800,197224
10028,2022-01-04 06:44:42.447074512,Keyboard,Mobiles,West,3,10016,UPI,3247,30048
10029,2022-01-04 09:39:41.796966161,Tablet,Mobiles,East,3,3010,Cash,2916,9030
10030,2022-01-04 12:34:41.146857809,Monitor,Electronics,North,3,18354,Card,4571,55062
10031,2022-01-04 15:29:40.496749458,USB Cable,Mobiles,South,1,44350,NetBanking,3911,44350
10032,2022-01-04 18:24:39.846641106,Keyboard,Mobiles,East,4,36216,Cash,3801,144864
10033,2022-01-04 21:19:39.196532755,Headphones,Accessories,East,3,18085,NetBanking,4084,54255
10034,2022-01-05 00:14:38.546424404,Keyboard,Accessories,North,2,22251,Cash,2389,44502
10035,2022-01-05 03:09:37.896316052,Tablet,Electronics,East,2,5930,Card,2742,11860
10036,2022-01-05 06:04:37.246207701,Headphones,Accessories,West,2,44397,UPI,1773,88794
10037,2022-01-05 08:59:36.596099349,USB Cable,Accessories,South,5,40988,UPI,3144,204940
10038,2022-01-05 11:54:35.945990998,Tablet,Mobiles,North,4,18574,UPI,3118,74296
10039,2022-01-05 14:49:35.295882647,Mouse,Mobiles,West,1,5580,UPI,1992,5580
10040,2022-01-05 17:44:34.645774295,Monitor,Accessories,North,1,9543,Cash,2838,9543
10041,2022-01-05 20:39:33.995665944,USB Cable,Accessories,West,4,39238,UPI,2884,156952
10042,2022-01-05 23:34:33.345557592,Mouse,Accessories,South,5,33038,UPI,4813,165190
10043,2022-01-06 02:29:32.695449241,Camera,Electronics,South,4,2909,Cash,3404,11636
10044,2022-01-06 05:24:32.045340890,USB Cable,Electronics,West,5,39861,Cash,1811,199305
10045,2022-01-06 08:19:31.395232538,Camera,Electronics,West,3,27030,Card,3591,81090
10046,2022-01-06 11:14:30.745124187,Headphones,Accessories,West,3,23195,Cash,4321,69585
10047,2022-01-06 14:09:30.095015835,Mouse,Accessories,West,5,12046,NetBanking,3301,60230
10048,2022-01-06 17:04:29.444907484,Monitor,Electronics,West,4,4091,Card,4842,16364
10049,2022-01-06 19:59:28.794799133,Tablet,Electronics,West,3,23619,Card,4253,70857
10050,2022-01-06 22:54:28.144690781,Charger,Accessories,South,4,26757,UPI,2875,107028
10051,2022-01-07 01:49:27.494582430,Keyboard,Mobiles,West,3,926,UPI,4035,2778
10052,2022-01-07 04:44:26.844474079,Laptop,Electronics,East,4,42725,NetBanking,4237,170900
10053,2022-01-07 07:39:26.194365727,Monitor,Accessories,South,4,16613,UPI,1003,66452
10054,2022-01-07 10:34:25.544257376,Mouse,Accessories,North,2,17901,Cash,2486,35802
10055,2022-01-07 13:29:24.894149024,Charger,Mobiles,South,5,29946,Cash,3192,149730
10056,2022-01-07 16:24:24.244040673,Monitor,Accessories,North,1,39666,UPI,1164,39666
10057,2022-01-07 19:19:23.593932322,Mouse,Accessories,North,5,23257,UPI,1343,116285
10058,2022-01-07 22:14:22.943823970,Smartphone,Electronics,East,4,28463,Cash,2897,113852
10059,2022-01-08 01:09:22.293715619,Smartphone,Electronics,West,4,5236,Card,2128,20944
10060,2022-01-08 04:04:21.643607267,Camera,Mobiles,West,5,17521,NetBanking,4619,87605
10061,2022-01-08 06:59:20.993498916,Monitor,Mobiles,South,4,12591,NetBanking,2337,50364
10062,2022-01-08 09:54:20.343390565,Smartphone,Accessories,West,3,7646,Card,4240,22938
10063,2022-01-08 12:49:19.693282213,Mouse,Electronics,East,4,6003,NetBanking,3567,24012
10064,2022-01-08 15:44:19.043173862,Camera,Mobiles,South,5,46723,UPI,3973,233615
10065,2022-01-08 18:39:18.393065510,Mouse,Mobiles,South,5,16506,UPI,2621,82530
10066,2022-01-08 21:34:17.742957159,Camera,Mobiles,South,5,15049,UPI,4507,75245
10067,2022-01-09 00:29:17.092848808,Monitor,Accessories,West,2,9925,NetBanking,3656,19850
10068,2022-01-09 03:24:16.442740456,Charger,Electronics,West,2,6387,Card,3559,12774
10069,2022-01-09 06:19:15.792632105,Tablet,Mobiles,West,2,45061,UPI,3456,90122
10070,2022-01-09 09:14:15.142523753,USB Cable,Electronics,South,2,34273,Card,3483,68546
